"","project","round","change","count","size","ratio"
"1","471ebc03d98f8","F1","ADD_ACCENT",2,850,0.00235294117647059
"2","471f000feaf88","F1","ADD_ACCENT",1,771,0.0012970168612192
"3","472290155979b","F1","ADD_ACCENT",1,612,0.00163398692810458
"4","472375e404762","F1","ADD_ACCENT",4,1753,0.00228180262407302
"5","4740fc441c78d","F1","ADD_ACCENT",5,2253,0.00221926320461607
"6","476435e6039b9","F1","ADD_ACCENT",1,3932,0.000254323499491353
"7","476568ed23f09","F1","ADD_ACCENT",3,3458,0.000867553499132446
"8","4769abac875d9","F1","ADD_ACCENT",1,419,0.00238663484486874
"9","471ebc03d98f8","P1","ADD_ACCENT",1,487,0.00205338809034908
"10","471f000feaf88","P1","ADD_ACCENT",2,1272,0.00157232704402516
"11","472290155979b","P1","ADD_ACCENT",1,571,0.00175131348511384
"12","472375e404762","P1","ADD_ACCENT",3,1274,0.00235478806907378
"13","472791473b441","P1","ADD_ACCENT",1,1906,0.000524658971668416
"14","47346213cfcd4","P1","ADD_ACCENT",1,2693,0.000371333085777943
"15","473f26ce0a1b3","P1","ADD_ACCENT",1,3914,0.000255493101686254
"16","473f272452fc6","P1","ADD_ACCENT",1,1615,0.000619195046439629
"17","4740fc441c78d","P1","ADD_ACCENT",5,2161,0.002313743637205
"18","47445be43e3cb","P1","ADD_ACCENT",1,2333,0.00042863266180883
"19","47445be8cbe0e","P1","ADD_ACCENT",2,2090,0.000956937799043062
"20","4749a3741b6d2","P1","ADD_ACCENT",1,2222,0.00045004500450045
"21","4749a3773f95e","P1","ADD_ACCENT",2,2207,0.000906207521522429
"22","4749a37a97819","P1","ADD_ACCENT",1,2078,0.000481231953801732
"23","4749ac72b27b6","P1","ADD_ACCENT",2,1726,0.00115874855156431
"24","4749b5cda292b","P1","ADD_ACCENT",1,1730,0.000578034682080925
"25","4749b5d45098c","P1","ADD_ACCENT",1,2213,0.000451875282422052
"26","476435e6039b9","P1","ADD_ACCENT",1,3702,0.000270124257158293
"27","476437f1a74f4","P1","ADD_ACCENT",1,3618,0.000276395798783858
"28","476568ed23f09","P1","ADD_ACCENT",4,6713,0.000595858781468792
"29","4769abac875d9","P1","ADD_ACCENT",1,414,0.00241545893719807
"30","47707c835e679","P1","ADD_ACCENT",2,1793,0.0011154489682097
"31","471ebc03d98f8","P2","ADD_ACCENT",3,1213,0.00247320692497939
"32","471f000feaf88","P2","ADD_ACCENT",2,1268,0.00157728706624606
"33","472290155979b","P2","ADD_ACCENT",1,572,0.00174825174825175
"34","472375e404762","P2","ADD_ACCENT",5,2142,0.00233426704014939
"35","472791473b441","P2","ADD_ACCENT",1,1933,0.000517330574236937
"36","47346213cfcd4","P2","ADD_ACCENT",1,2693,0.000371333085777943
"37","473f26ce0a1b3","P2","ADD_ACCENT",1,3915,0.000255427841634738
"38","473f272452fc6","P2","ADD_ACCENT",1,1615,0.000619195046439629
"39","4740fc441c78d","P2","ADD_ACCENT",5,2165,0.0023094688221709
"40","474451321c6dc","P2","ADD_ACCENT",1,3486,0.000286861732644865
